Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Netherlands,Eredivisie,20/08/98,Heerenveen,Twente,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,21/08/98,For Sittard,Feyenoord,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,22/08/98,AZ Alkmaar,Sparta,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,22/08/98,Cambuur,PSV Eindhoven,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,22/08/98,MVV Maastricht,Graafschap,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,22/08/98,Vitesse,Roda JC,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,22/08/98,Waalwijk,Nijmegen,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,23/08/98,Ajax,Willem II,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,23/08/98,NAC Breda,Utrecht,2.0,4.0,A,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,28/08/98,Roda JC,Ajax,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,29/08/98,AZ Alkmaar,Vitesse,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,29/08/98,PSV Eindhoven,Heerenveen,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,29/08/98,Willem II,For Sittard,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,30/08/98,Feyenoord,MVV Maastricht,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,30/08/98,Nijmegen,NAC Breda,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,30/08/98,Twente,Sparta,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,30/08/98,Utrecht,Cambuur,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,05/09/98,Graafschap,Waalwijk,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,06/09/98,Sparta,Roda JC,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,08/09/98,Feyenoord,Graafschap,5.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,08/09/98,Heerenveen,Willem II,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,08/09/98,Waalwijk,PSV Eindhoven,3.0,4.0,A,2.0,3.0,A,,,,,,,,,,,
Netherlands,Eredivisie,09/09/98,Ajax,AZ Alkmaar,5.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,09/09/98,Cambuur,Nijmegen,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,09/09/98,For Sittard,Vitesse,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
