Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Scotland,Premier League,15/10/94,Hearts,Celtic,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Rangers,Kilmarnock,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Celtic,Falkirk,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Dundee United,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Hearts,Aberdeen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Kilmarnock,Partick,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Motherwell,Rangers,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Aberdeen,Dundee United,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Hibernian,Hearts,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Motherwell,Kilmarnock,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,29/10/94,Partick,Falkirk,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,30/10/94,Celtic,Rangers,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Dundee United,Celtic,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Falkirk,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Hearts,Motherwell,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Kilmarnock,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,05/11/94,Rangers,Partick,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/11/94,Falkirk,Kilmarnock,3.0,3.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/11/94,Motherwell,Dundee United,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,09/11/94,Aberdeen,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,09/11/94,Celtic,Partick,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,09/11/94,Hearts,Rangers,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Dundee United,Hearts,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Hibernian,Motherwell,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Kilmarnock,Celtic,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Partick,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,19/11/94,Rangers,Falkirk,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,25/11/94,Rangers,Aberdeen,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/11/94,Falkirk,Dundee United,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/11/94,Kilmarnock,Hearts,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/11/94,Motherwell,Partick,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,27/11/94,Hibernian,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Aberdeen,Kilmarnock,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Celtic,Motherwell,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Hearts,Falkirk,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,03/12/94,Partick,Hibernian,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,04/12/94,Dundee United,Rangers,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/12/94,Hibernian,Falkirk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/12/94,Kilmarnock,Rangers,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/12/94,Motherwell,Aberdeen,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Aberdeen,Celtic,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Dundee United,Kilmarnock,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Falkirk,Motherwell,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Hearts,Partick,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,26/12/94,Rangers,Hibernian,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Aberdeen,Hearts,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Celtic,Falkirk,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Hibernian,Dundee United,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Motherwell,Rangers,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,31/12/94,Partick,Kilmarnock,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,02/01/95,Dundee United,Aberdeen,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
