Country,League,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
Scotland,Premier League,21/08/04,Hearts,Kilmarnock,3,0,H,1,0,H,S Dougal,9,6,5,0,16,23,6,5,1,1,0,0,1.61,3.4,5.0,1.6,3.5,5.0,1.65,3.4,4.75,1.7,3.2,4.2,1.62,3.5,4.5,1.67,3.4,4.5,1.7,3.2,4.5,1.71,2.0,2.0,1.8,-1.0,2.0,1.84,-1.0,2.075,1.825,-1.0
Scotland,Premier League,21/08/04,Livingston,Dundee United,1,1,D,0,0,D,W Young,18,11,11,5,15,12,4,5,0,0,0,0,2.3,3.2,2.7,2.25,3.25,2.75,2.35,3.2,2.7,2.3,3.0,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.37,3.1,2.62,1.71,2.0,2.05,1.75,-0.25,2.02,1.82,-0.25,2.075,1.825,-0.25
Scotland,Premier League,21/08/04,Rangers,Hibernian,4,1,H,2,1,H,K Clark,17,10,12,8,16,22,4,5,3,4,0,0,1.16,5.5,13.0,1.2,5.5,10.0,1.19,5.5,11.0,1.2,5.0,10.0,1.17,5.5,12.0,1.17,6.0,11.0,1.14,6.0,12.0,1.55,2.25,,,,1.8,2.04,-1.75,1.825,2.075,-1.75
Scotland,Premier League,22/08/04,Inverness C,Celtic,1,3,A,1,1,D,D McDonald,1,15,0,9,13,9,4,9,3,0,1,0,11.0,6.0,1.22,,,,11.0,5.5,1.19,10.0,5.0,1.2,12.0,5.5,1.17,11.0,6.0,1.17,11.0,5.0,1.2,1.55,2.25,,,,,,,2.05,1.85,1.5
Scotland,Premier League,28/08/04,Aberdeen,Livingston,2,0,H,0,0,D,M McCurry,13,0,9,0,15,16,7,3,1,5,0,0,1.8,3.25,4.0,1.9,3.3,3.5,1.9,3.25,3.65,2.0,3.1,3.2,1.8,3.4,3.6,1.85,3.2,3.75,1.8,3.3,3.75,1.9,1.79,1.9,1.72,-0.5,,,,1.775,2.125,-0.25
Scotland,Premier League,28/08/04,Dundee United,Inverness C,2,1,H,0,0,D,J Rowbotham,11,7,8,4,11,15,13,3,2,0,0,0,1.8,3.25,4.0,1.75,3.4,4.0,1.83,3.25,3.85,1.8,3.1,3.8,1.67,3.4,4.33,1.83,3.25,3.75,1.83,3.3,3.6,1.85,1.85,1.83,1.76,-0.5,,,,1.85,2.05,-0.5
Scotland,Premier League,28/08/04,Hibernian,Dundee,4,4,D,2,1,H,C Richmond,11,10,9,5,16,5,5,7,0,2,0,0,2.0,3.25,3.25,2.1,3.2,3.1,2.05,3.25,3.25,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,1.95,3.3,3.2,1.75,1.95,1.85,1.95,-0.25,,,,1.9,2.0,-0.25
Scotland,Premier League,28/08/04,Motherwell,Hearts,2,0,H,0,0,D,A Freeland,8,8,4,5,14,18,7,2,1,4,0,0,2.75,3.25,2.25,2.75,3.1,2.35,2.8,3.2,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.2,2.25,2.75,3.2,2.25,1.79,1.9,2.05,1.77,0.0,,,,2.1,1.8,0.0
Scotland,Premier League,29/08/04,Celtic,Rangers,1,0,H,0,0,D,H Dallas,10,8,4,1,13,17,6,4,1,2,0,0,2.0,3.2,3.75,1.85,3.25,3.75,2.0,3.25,3.25,2.0,3.1,3.2,1.8,3.25,3.75,2.0,3.1,3.4,2.0,3.2,3.2,1.75,1.95,2.0,1.63,-0.5,,,,2.0,1.9,-0.5
Scotland,Premier League,29/08/04,Kilmarnock,Dunfermline,1,0,H,1,0,H,S Conroy,9,8,2,6,15,10,6,6,3,1,0,0,2.0,3.25,3.25,2.2,3.1,3.0,2.1,3.25,3.1,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,3.0,2.0,3.3,3.1,1.85,1.85,1.9,1.9,-0.25,,,,1.95,1.95,-0.25
