Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Scotland,Division 1,13/08/94,Airdrie,Dunfermline,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,13/08/94,Ayr,Hamilton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,13/08/94,Clydebank,Stranraer,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,13/08/94,Dundee,St Mirren,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,13/08/94,Raith Rvs,St Johnstone,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,20/08/94,Airdrie,St Johnstone,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,20/08/94,Ayr,St Mirren,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,20/08/94,Clydebank,Dunfermline,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,20/08/94,Dundee,Stranraer,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,20/08/94,Raith Rvs,Hamilton,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,28/08/94,Dunfermline,Raith Rvs,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,28/08/94,Hamilton,Airdrie,2.0,6.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,28/08/94,St Johnstone,Dundee,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,28/08/94,St Mirren,Clydebank,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,28/08/94,Stranraer,Ayr,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,03/09/94,Ayr,St Johnstone,3.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,03/09/94,Dundee,Airdrie,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,03/09/94,Hamilton,Stranraer,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,03/09/94,Raith Rvs,Clydebank,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,03/09/94,St Mirren,Dunfermline,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,10/09/94,Airdrie,Ayr,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,10/09/94,Clydebank,Dundee,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,10/09/94,Dunfermline,Hamilton,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,10/09/94,St Johnstone,St Mirren,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,10/09/94,Stranraer,Raith Rvs,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 1,24/09/94,Airdrie,Clydebank,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
