Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Scotland,Division 3,05/08/97,Berwick,Alloa,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,05/08/97,Cowdenbeath,Dumbarton,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,05/08/97,East Stirling,Ross County,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,05/08/97,Montrose,Albion Rvs,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,16/08/97,Albion Rvs,Berwick,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,16/08/97,Alloa,Cowdenbeath,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,16/08/97,Arbroath,East Stirling,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,16/08/97,Dumbarton,Montrose,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,16/08/97,Queens Park,Ross County,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,23/08/97,Berwick,Dumbarton,5.0,3.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,23/08/97,Cowdenbeath,Ross County,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,23/08/97,East Stirling,Alloa,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,23/08/97,Montrose,Arbroath,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,23/08/97,Queens Park,Albion Rvs,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,30/08/97,Berwick,Arbroath,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,30/08/97,Dumbarton,Alloa,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,30/08/97,East Stirling,Queens Park,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,30/08/97,Montrose,Cowdenbeath,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,30/08/97,Ross County,Albion Rvs,5.0,3.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,09/09/97,Queens Park,Arbroath,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,13/09/97,Albion Rvs,Dumbarton,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,13/09/97,Alloa,Montrose,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,13/09/97,Arbroath,Ross County,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,13/09/97,Cowdenbeath,East Stirling,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,13/09/97,Queens Park,Berwick,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,20/09/97,Albion Rvs,Alloa,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,20/09/97,Arbroath,Dumbarton,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,20/09/97,East Stirling,Montrose,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,20/09/97,Queens Park,Cowdenbeath,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,20/09/97,Ross County,Berwick,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,27/09/97,Alloa,Arbroath,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,27/09/97,Berwick,East Stirling,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,27/09/97,Cowdenbeath,Albion Rvs,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,27/09/97,Dumbarton,Queens Park,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,27/09/97,Montrose,Ross County,3.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,04/10/97,Arbroath,Albion Rvs,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,04/10/97,Berwick,Cowdenbeath,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,04/10/97,East Stirling,Dumbarton,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,04/10/97,Queens Park,Montrose,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,04/10/97,Ross County,Alloa,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,11/10/97,Ross County,Queens Park,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,18/10/97,Albion Rvs,East Stirling,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,18/10/97,Alloa,Queens Park,3.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,18/10/97,Cowdenbeath,Arbroath,0.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,18/10/97,Dumbarton,Ross County,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,18/10/97,Montrose,Berwick,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,25/10/97,Albion Rvs,Queens Park,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,25/10/97,Alloa,East Stirling,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,25/10/97,Arbroath,Montrose,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,25/10/97,Dumbarton,Berwick,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,25/10/97,Ross County,Cowdenbeath,5.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,01/11/97,Berwick,Albion Rvs,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,01/11/97,Cowdenbeath,Alloa,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,01/11/97,East Stirling,Arbroath,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,01/11/97,Montrose,Dumbarton,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,01/11/97,Queens Park,Ross County,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,08/11/97,Albion Rvs,Ross County,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,08/11/97,Alloa,Dumbarton,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,08/11/97,Arbroath,Berwick,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,08/11/97,Cowdenbeath,Montrose,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,08/11/97,Queens Park,East Stirling,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,15/11/97,Berwick,Queens Park,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,15/11/97,Dumbarton,Albion Rvs,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,15/11/97,East Stirling,Cowdenbeath,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,15/11/97,Montrose,Alloa,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,15/11/97,Ross County,Arbroath,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,22/11/97,Albion Rvs,Cowdenbeath,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,22/11/97,Arbroath,Alloa,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,22/11/97,East Stirling,Berwick,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,22/11/97,Queens Park,Dumbarton,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,22/11/97,Ross County,Montrose,8.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,29/11/97,Alloa,Albion Rvs,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,29/11/97,Berwick,Ross County,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,29/11/97,Cowdenbeath,Queens Park,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,29/11/97,Dumbarton,Arbroath,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Division 3,29/11/97,Montrose,East Stirling,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
